Proj ID,Status,Title,RDC,Start Year,End Year,PI,Abstract,No. Datasets,DataName1,DataCode1,DataName2,DataCode2,DataName3,DataCode3,DataName4,DataCode4,DataName5,DataCode5,DataName6,DataCode6,DataName7,DataCode7,DataName8,DataCode8,DataName9,DataCode9,DataName10,DataCode10,DataName11,DataCode11,DataName12,DataCode12,DataName13,DataCode13,DataName14,DataCode14,DataName15,DataCode15,DataName16,DataCode16,DataName17,DataCode17,DataName18,DataCode18,DataName19,DataCode19,DataName20,DataCode20,DataName21,DataCode21,DataName22,DataCode22,DataName23,DataCode23,DataName24,DataCode24,DataName25,DataCode25,DataName26,DataCode26,DataName27,DataCode27,DataName28,DataCode28,DataName29,DataCode29,DataName30,DataCode30,DataName31,DataCode31,DataName32,DataCode32,DataName33,DataCode33,DataName34,DataCode34,DataName35,DataCode35,DataName36,DataCode36,DataName37,DataCode37,DataName38,DataCode38,DataName39,DataCode39,DataName40,DataCode40,DataName41,DataCode41,DataName42,DataCode42,DataName43,DataCode43,DataName44,DataCode44,DataName45,DataCode45,DataName46,DataCode46,DataName47,DataCode47,DataName48,DataCode48,DataName49,DataCode49,DataName50,DataCode50,DataName51,DataCode51,DataName52,DataCode52,DataName53,DataCode53,DataName54,DataCode54,DataName55,DataCode55,DataName56,DataCode56,DataName57,DataCode57,DataName58,DataCode58,No. Researchers,Researcher1,Researcher2,Researcher3,Researcher4,Researcher5,Researcher6,Researcher7,Researcher8,Researcher9,Researcher10,Researcher11,Researcher12,Researcher13,Researcher14,Researcher15,Researcher16,Researcher17,Researcher18,Researcher19,Researcher20,Researcher21,Researcher22,Researcher23,Researcher24,Researcher25,Researcher26,Researcher27,Researcher28,Researcher29,Researcher30,Researcher31,Researcher32,Researcher33,Researcher34
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004.0,J Bradford Jensen,"The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.",13,Annual Survey of Manufactures,ASM,Auxiliary Establishment - ES9200,AUX,Census of Construction Industries,CCN,"Census of Finance, Insurance, and Real Estate",CFI,Census of Manufactures,CMF,Census of Mining,CMI,Census of Retail Trade,CRT,Census of Services,CSR,"Census of Transportation, Communications, and Utilities",CUT,Census of Wholesale Trade,CWH,Enterprise Summary Report - ES9100 (large company),ESR,Standard Statistical Establishment Listing,SSL,Standard Statistical Establishment List - non Name and Address File,SSL_XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Completed,Do Plants Move? - Evidence of Relocation in U.S. Manufacturing Plants,CMU,2001,2001.0,Yoonsoo Lee,"A firm can grow over a sustained period of time by renewing itself through recurrent responses to various internal and external challenges. In the short run, a firm expands and contracts its activities and the number of workers it employs. Some radical changes in the environment, however, may lead a firm to shut down a plant and start over in a new location. Because of this, competition among state and local governments to lure businesses has attracted considerable interest from economists, as well as legislators and decision-makers, regarding issues influencing relocation of a firm’s manufacturing activities. While this process of relocation can cause dramatic shifts in activity and employment at the regional levels, as well as at the firm levels, very little is known about the actual patterns of relocation in the U.S. economy. Only a few previous studies have looked at how manufacturing firms geographically locate their production, and most of these have focused on either small manufacturing samples or small geographic regions. This project expands on this previous work by summarizing the patterns of plant relocation and the post-move performance of relocated plants using the full population of manufacturing establishments in the United States over the period 1963-1999 using non-publicly available plant and firm level data from the U.S. Census Longitudinal Research Database (LRD). Focusing on an individual firm’s decision to relocate, this project analyzes information on the relocation of a firm’s manufacturing activities in the following three subprojects. First, this project assesses the relative importance of relocation across industries and regions by constructing industry level measures of entry, relocation, and exit. The study then examines whether relocation produces different patterns in plant openings and closings compared to de novo entry and permanent exit. Second, this project studies the characteristics of relocated plants along with their decision to relocate. Econometric model estimation will characterize how individual firms’ geographic shifts of production processes are influenced by taxes, unionization, factor prices, ownership, and other geographic and plant specific characteristics. Third, this project investigates the impact of geographic shifts on a firm’s post move production by comparing the growth rates of output and productivity for newly relocated plants to those of existing plants in the original location. The inverse growth-age relation suggested by Jovanovic’s (1982) firm- learning model is tested for relocating plants to examine whether the inverse growth-age relation observed among young firms also holds for relocating plants that start over in a new space. This project provides a number of benefits to the Census Bureau. These benefits include producing new statistics on the geographic movement of manufacturing activities at the firm level thereby suggesting a new way to expand the utility of the LRD in describing the geographic patterns of economic activities in the United States. Results of this research may also demonstrate the need for new measures of relocation to be incorporated in future surveys. Additionally by establishing links to the original plant of relocated plant, this research examines the consistency of geographic identifiers by potentially identifying previously undocumented coding problems and improves the understanding of regional linkages in the LRD. A better understanding of the dynamic geographic distribution of firm activity will help characterize the patterns of firm ownership that could be valuable for designing inquires on the Company organization survey that is an important Title 13 component of the Standard Statistical Establishment List.",1,Census of Manufactures,CMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005.0,Judith K Hellerstein,"The proposed research will accomplish two goals.  The first goal is the completion of the construction of a unique, very large, representative data set on workers, employers, and employer characteristics, where the employer characteristics are obtained in part from information on the multiple workers working for each employer.  For each individual worker in the data, this data set will also include detailed information on both residential location and geographic location of the place of work.  This matched employee-employer data set will represent a significant improvement upon existing matched data sets for the U.S., and result in gains to the Census Bureau in terms of new data products and improvements in current data programs.  The second goal is to complete a number of projects exploiting these data to bring new evidence to bear on the alternative supply-side explanations of racial, ethnic, and language differences in labor market outcomes, and in so doing not only test these explanations but also provide an assessment of their importance relative to demand-side theories.",12,Census of Construction Industries,CCN,Decennial Census,CEN,"Census of Finance, Insurance, and Real Estate",CFI,Census of Manufactures,CMF,Census of Mining,CMI,Census of Retail Trade,CRT,Census of Services,CSR,"Census of Transportation, Communications, and Utilities",CUT,Census of Wholesale Trade,CWH,Decennial Employer-Employee Database,DEE,Standard Statistical Establishment Listing,SSL,Standard Statistical Establishment List - non Name and Address File,SSL_XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Joel Elvery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Completed,Productivity Dynamics and Capital Adjustment Patterns in U.S. Food and Kindred Product Industry: Plant and Firm Level Analysis,CMU,2000,2001.0,Pinar Celikkol Geylani,"Productivity advancement has been a major contributing factor to economic growth in the postwar U.S. economy and more accurate measurement of productivity and growth will assist future industry and government decision-making activities. The proposed research address some fundamental issues related to productivity and growth in the food-manufacturing sector by focusing on the stimuli to productivity growth. By focusing on the investment patterns of Food and Kindred Products Industry, this project will
• Examine the behavior of capital adjustment patterns of plants and firms
• Examine the dynamic factor demand decisions and resource allocations of the constituent units of the firm
• Examine long-argued capital measurement problems surrounding the time series data
• Investigate implications of the empirical evidence for the shape of the adjustment cost function
• Analyze productivity changes of plants and firms under these capital adjustment cost and investment patterns
• Identify and distinguish the gains from investment spikes as indicative of the lifting the plateau to a new one that can lead to longer periods of productivity growth from the productivity gains within an investment period. Thus this proposal intends to take the literature one step further by investigating how capital and its adjustments influence productivity.
Generally, plant-level studies analyzing productivity dynamics concentrate on the overall manufacturing plants in U.S., while studies analyzing productivity issues in the Food and Kindred Products industry primarily concentrate on the aggregate level. There are currently no studies that analyze the productivity dynamics at the most disaggregated plant level, considering all product subgroups of the food-manufacturing sector. With this study, we will be able to focus on investment patterns and lumpy capital adjustment costs separately analyzing all sub-industries of the food sector, which allows us to capture extensive heterogeneity within and across industries. The Food and Kindred Products industry is an excellent candidate for investigating lumpy investment patterns as the industry has become increasingly capital-intensive, and high-tech over the past few decades in the processing, packaging, and marketing of food products (Morrison, 1997). Therefore, the data required for this research is the U.S. Census’ Longitudinal Research Database (LRD) for the years 1963-1999 containing the annual establishment level production data for the manufacturing plants and firms specifically in Food and Kindred Products Industry. This non-publicly available Census data is crucial for understanding the productivity dynamics, the forces of productivity transition and the performance of the industry micro-and macro-level. The LRD has detailed information on products produced, employment and capital investment, labor, and material and energy at both the plant-level and firm level, as well as information on whether firms are single-plant or multi-plant firms. Additionally variables on the size of the establishments by employment and the age of the plants can be defined. For an accurate measurement of productivity growth, we need to consider economies of scale, productivity enhancing changes arising from factors such as experience, learning-by-doing, increased knowledge, new innovations, better techniques for producing output, measuring relative capital intensity of production technology, existence of quasi-fixity of inputs, and the adjustment cost of these factors. As capital input is a significant component of total cost, analyzing the behavior of quasi-fixed factors in the measurement of productivity is crucial, especially if the firms require massive amounts of capital in the form of plant and equipment. Therefore, confidential Census data is essential to investigate the effect of capital adjustment on productivity and to develop a method, which can control for plant and firm fixed effects in measuring the productivity at plant and firm level. This research will provide benefit to the Census Bureau by developing a new improved measure of economic growth associated with investment spikes. This methodology removes procyclical biases associated with the business cycle. Thus it has the potential to propose changes in the questionnaire design and collection methodology to improve the economic content of the information gathered by the Annual Survey of Manufacturers (ASM) and the Census of Manufacturers (CM) in the area of capital input series and total factor productivity at both the plant and firm level. By computing productivity at both levels, the researcher will be able to separately estimate both plant level productivity and firm level productivity in relation to aggregate level productivity. Previous studies have shown that aggregate growth measures may be significantly reduced when using the plant level data. Therefore the disaggregated measure of total factor productivity generated by this research will assist the Census Bureau in determining and evaluating whether the aggregation problem found in the literature is due to underlying economic forces or if it is possibly due to the questionnaire design or collection methodology.",2,Annual Survey of Manufactures,ASM,Census of Manufactures,CMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Completed,Evaluating the Economic Impact of an Economic Development Program: Measuring the Performance of the Manufacturing Extension Partnership,Michigan,2001,2002.0,Dean M Prestegaard,The National Institute of Standards and Technology's Manufacturing Extension Partnership (MEP) is a federally funded program that provides assistance to small- and medium-sized manufacturers (SMMs).  This research project will evaluate the program and attempt to address the question of whether or not the MEP program is achieving its stated goal of helping SMMs become more competitive.  The two indicators of competitiveness that will be used to assess the impact of the MEP are productivity and survival rates.  Statistical models will be used to compare the productivity and survival rates of firms that have received assistance from the MEP to those that have not received assistance.  ,3,Annual Survey of Manufactures,ASM,Census of Manufactures,CMF,Longitudinal Business Database - No Revenue,LBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Dean M Prestegaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Completed,Do Plants Change Their Productivity and Wage Rankings?,Michigan,2006,2006.0,Edith A Wiarda,"Prior work using the LRD has demonstrated considerable plant-level heterogeneity in productivity (and, to a lesser extent, wages), and that much of this ""plant effect"" persists over time. This project examines those plants that experience large movement in their relative productivity, or in their relative wages, over the LRD time period. In particular, we wish to estimate the likelihood of sizeable (and consistent) movement in relative productivity or wages as a function of industry, plant size, firm size, sales growth, and geography (urban/rural, region). Besides estimating statistical models, we wish to construct a 5x5 tabulation of ""beginning-of-period quintile"" versus ""end-of-period quintile"" for productivity and for wages.",1,Census of Manufactures,CMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Completed,Firm Inventory Behavior and the Returns from Infrastructure Investment,UCLA,2003,2004.0,Chad Shirley,"This project will examine changes in plant-level inventory behavior over the past three decades.  In particular, this work will quantitatively estimate the relationship between changes in plant inventory levels and investments in the construction and maintenance of public roads and highways over the past three decades.  This project will also examine and control for other influences on inventory behavior, including trends in the use of information technology, changes in inventory management practices, and product proliferation, and their interaction with this transportation investment.",2,Annual Survey of Manufactures,ASM,Census of Manufactures,CMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Completed,Does a Rising Tide of Small Business Jobs Lift All Boats?,Washington,2000,2001.0,David C Ribar,"This investigation will examine the effects that expansions, contractions, openings, and closings of different-sized establishments in local labor markets have on low-skill employment and wages.  It will first use establishment-specific information from the Business Information Tracking System (BITS) to characterize job flows separately for small and large businesses within different industries within counties.  The investigation will next link its constructed local area job flow measures with individual-level data on earnings, employment, and other personal attributes for low-skill workers from the Sample Edited Detail File (SEDF) of the 1990 Decennial Census and the 1991-97 Annual Demographic files of the Current Population Survey (CPS).  It will regress the individual-level wage and employment outcomes against the local job flow measures, controlling for time- and area-specific fixed effects and observed personal characteristics such as age and race. The investigation will extend recent work by the Principal Investigator on the effects of local employment conditions on skill-specific outcomes by characterizing employment conditions within very detailed industries, distinguishing between different types of job flows, and distinguishing between different-sized establishments.",1,Longitudinal Business Database - No Revenue,LBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Completed,Firms and Layoffs: The Impact of Unionization on Involuntary Job Loss,Triangle,2001,2001.0,Vanessa V Tinsley,"The National Employer Survey (NES) was administered by the Census Bureau on behalf of the Educational Quality of the Workforce Program to conduct a survey on employers’ hiring and human resource practices. The proposed project extends the use of the NES beyond the issues of training and education and informs broader labor market issues by focusing on variable data that has been collected but has not been extensively used. In doing so, this project will yield clear benefits to the Census Bureau’s data program. The 1997 National Employer Survey – Phase II is one of very few employer surveys that contains data on involuntary job loss and collective bargaining coverage at the establishment level. An important human resource issue is how employers manage changes in employment levels. Employers in the United States have been facing increasing pressure to eliminate jobs; thus, employees are experiencing a decline in job security. Unions, as the only institutionalized means of worker representation, can be expected to have an impact on whether or not management considers workers’ interests when making decisions regarding changes in employment levels. This project merges the NES establishment-level data with industry-level and local labor market characteristics to identify factors affecting involuntary job loss, with a particular focus on unionization. Access to non-public data provide the Census Bureau data program with the following benefits: (1) an enhanced database created by merging NES-II data with contextual data such as the Herfindahl Index, industry unionization rates, local unemployment rates, industrial production indexes, and industry imports, allowing comparisons with the AMA and MCTES data; (2) an increased understanding of the quality of the data for use in econometric analyses and an evaluation of the quality of the data by comparing coefficient estimates to estimates obtained from the AMA and MCTES data; and (3) documentation for new data collection needs to understand employer behavior.",1,Non-Employer Business Register,NBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Completed,Estimating the Cost Saving from Incentive-Based Environmental Policy When Cost Are Heterogeneous,Washington,2002,2004.0,Jhih-shyang Shih,"The degree of heterogeneity among pollution sources in their marginal costs of pollution abatement may be the single most important factor affecting the relative cost of economic incentive-based versus other approaches to achieving environmental performance.  We will develop econometrically estimable, structural models of plant-level pollution abatement costs that explicitly allow for significant heterogeneity.  After estimating these models using Census data, they will first assess the degree and sources of cost heterogeneity, and then use simulations to measure the potential gains from using economic incentives relative to other regulatory approaches.",4,Annual Survey of Manufactures,ASM,Census of Manufactures,CMF,Manufacturing Energy Consumption Survey,MECS,Survey of Pollution Abatement Costs and Expenditures,PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
