Proj ID,Status,Title,RDC,Start Year,End Year,PI,Researcher
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005.0,Judith K Hellerstein,Joel Elvery
13,Completed,Evaluating the Economic Impact of an Economic Development Program: Measuring the Performance of the Manufacturing Extension Partnership,Michigan,2001,2002.0,Dean M Prestegaard,Dean M Prestegaard
29,Completed,How many melting pots?,UCLA,2002,2003.0,Vincent K Fu,Vincent K Fu
44,Completed,"""Marrying Out"" and Fitting In: Interracial Households, Residential Segregation and the Identity of Multiracial Children",UCLA,2001,2004.0,John Mark Ellis,John Mark Ellis
44,Completed,"""Marrying Out"" and Fitting In: Interracial Households, Residential Segregation and the Identity of Multiracial Children",UCLA,2001,2004.0,John Mark Ellis,Steven R Holloway
44,Completed,"""Marrying Out"" and Fitting In: Interracial Households, Residential Segregation and the Identity of Multiracial Children",UCLA,2001,2004.0,John Mark Ellis,Margaret Hudson
44,Completed,"""Marrying Out"" and Fitting In: Interracial Households, Residential Segregation and the Identity of Multiracial Children",UCLA,2001,2004.0,John Mark Ellis,Richard A Wright
53,Completed,"Covering Kids: Evaluating Efforts to the Reduce the Number of Uninsured Children, Evidence from CHIP",UCLA,2001,2001.0,Anna Aizer,Anna Aizer
54,Completed,Efficiency of Internal Capital Markets,Boston,2002,2002.0,Antoinette Schoar,Sendhil Mullainathan
54,Completed,Efficiency of Internal Capital Markets,Boston,2002,2002.0,Antoinette Schoar,Antoinette Schoar
56,Completed,Evaluating the Costs to Firms of the Toxics Release Inventory,Boston,2001,2004.0,Linda T Bui,Linda T Bui
56,Completed,Evaluating the Costs to Firms of the Toxics Release Inventory,Boston,2001,2004.0,Linda T Bui,Martino Destefano
57,Completed,"Explaining Home Bias in Consumption: Production Location, Magnification, and Hysteresis",Washington,2001,2001.0,Russell Hillberry,Russell Hillberry
66,Completed,Evaluating and Enhancing the MEPS-IC as a Source of Policy Relevant Estimates,Washington,2001,2002.0,Jessica P Vistnes,Philip F Cooper
66,Completed,Evaluating and Enhancing the MEPS-IC as a Source of Policy Relevant Estimates,Washington,2001,2002.0,Jessica P Vistnes,Kosali I Simon
66,Completed,Evaluating and Enhancing the MEPS-IC as a Source of Policy Relevant Estimates,Washington,2001,2002.0,Jessica P Vistnes,Jessica P Vistnes
70,Completed,Using Matched Employer-Employee Data to Examine Labor Market Dynamics and the Quality of SIPP/CPS Data,UCLA,2003,2007.0,Andrew K Hildreth,Matthew E Cox
70,Completed,Using Matched Employer-Employee Data to Examine Labor Market Dynamics and the Quality of SIPP/CPS Data,UCLA,2003,2007.0,Andrew K Hildreth,Andrew K Hildreth
70,Completed,Using Matched Employer-Employee Data to Examine Labor Market Dynamics and the Quality of SIPP/CPS Data,UCLA,2003,2007.0,Andrew K Hildreth,Naomi Hsu
70,Completed,Using Matched Employer-Employee Data to Examine Labor Market Dynamics and the Quality of SIPP/CPS Data,UCLA,2003,2007.0,Andrew K Hildreth,Jonathan E Schwartz
71,Completed,Human Capital Externalities & the Investment Decision of US Manufacturing Firms,UCLA,2002,2002.0,Enrico Moretti,Enrico Moretti
83,Completed,A General Equilibrium Analysis of Urban Labor and Housing Markets,Boston,2002,2006.0,Stephen L Ross,Patrick J Bayer
83,Completed,A General Equilibrium Analysis of Urban Labor and Housing Markets,Boston,2002,2006.0,Stephen L Ross,Shihe N Fu
83,Completed,A General Equilibrium Analysis of Urban Labor and Housing Markets,Boston,2002,2006.0,Stephen L Ross,Anupam Nanda
83,Completed,A General Equilibrium Analysis of Urban Labor and Housing Markets,Boston,2002,2006.0,Stephen L Ross,Stephen L Ross
83,Completed,A General Equilibrium Analysis of Urban Labor and Housing Markets,Boston,2002,2006.0,Stephen L Ross,Victor A Shlychkov
91,Completed,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance",Boston,2001,2005.0,Wayne Gray,Anna Belova
