Name,PI,Researcher
Laura Castillo-Martinez,,2606
Matthew J Rognlie,,"1181, 730"
Nancy A Hammond,,"343, 293"
Esther Velasquez,,3019
Chiara Maggi,,2306
Antoinette Schoar,"54, 308",
Yao Zeng,,1185
Rosemary T Hyson,,2951
Evan K Rose,2034,
Trang P Ha,,"1586, 1380"
Johannes Norling,,869
William H Carter,342,
Pilar Gonalons,2488,
Juan Carlos Suarez Serrato,,"1667, 2528, 2998"
Frank Heiland,,2951
Nicole A Gandre,,2835
Cameron W Healy,3012,1518
Yuheng Ding,,2296
Christopher B Barrett,2913,
Shelby R Buckman,,1694
Arnab K Basu,,1310
Benjamin Feigenberg,,2793
Jorge Jaumandreu Balanzo,,2585
Seema G Nayak,,2817
David Silver,,"1105, 932"
Matthew Tarduno,,"1284, 1406"
Reiko M Laski,,2441
Lucas Taulbee,,2956
Timothy Dore,"900, 2801",881
Denise R Bell,,1746
Nicolas Ziebarth,,"1967, 1422"
Bin Wei,2878,
Lancelot Charles Phi Henry de Frahan,,908
Robert Belli,1583,
Namrata Narain,,"1571, 1352"
Benjamin B Schoefer,,819
Siyu Liu,2829,
Katie R Genadek,,"2548, 1743, 2239, 2424, 2228, 2343"
Jung Ho Choi,1668,
Zi Wang,,1109
Rhea G Acuna,,2136
John M Van Reenen,,"1694, 1684, 2389"
Jordan B Marvakov,,607
Sandra E Black,,204
Toshihiko Mukoyama,2319,
Matthew Marx,,1182
Kristin - Mccue,,"1467, 1151"
Edith Laget,,987
Michael Siemer,1579,
Jennifer M Walsh,,1571
Erik Vickstrom,,2357
Soo Jin Kim,,1255
Kao-lee Liaw,,665
John J Stevens,514,
Megumi Tanabe,,1994
David J Deming,2751,
Muhammet Fatih Guvenen,,1694
Liz Wachs,,2173
Andrew Weaver,,1561
Marco Allain,,2717
Joseph P Janko,,2280
Patricia Angle,,1069
Jason Hall,,2012
Jake Anderson,,2034
Philip F Cooper,,66
Charles Pfander,,"2157, 1802, 1846"
Yotam Shem-Tov,,2034
Nitya Pandalai Nayar,2439,"1298, 834, 784, 1057"
Olesya N Baker,,369
Alexander C Prairie,,1528
Haoyang Liu,,2775
Jiaze Li,,"1298, 1686, 2315, 987"
Jeanne S Ringel,,312
Roni Kisin,,786
Carlos F Avenancio,,"1611, 2416"
Wei Huang,,"786, 1185"
Xiaonan Ma,2799,
Sheela Kennedy,,620
Shan Ge,,1400
Lucas Zavala,,1518
Christopher Vickers,1967,2489
Ian M Schmutte,1085,
Larisa C Cioaca,,2185
Michal Zator,,1572
Lance Freeman,1329,
Nikhil Rao,2957,2295
"Patrick F Akey, Jr",,2128
Mattan C Alalouf,,1743
Chen Liang,,2176
Peter Hepburn,,2175
Benjamin A Campbell,845,
Mingye Yin,,2744
Vincent Thivierge,2581,
William Lincoln,,"1298, 784"
Kevin Shih,1582,2104
Katie M Jajtner Gottfredsen,,2338
Jagadeesh M Sivadasan,"580, 2103","784, 880, 444, 815, 682"
Ross Cole,,2766
Lisa K Bates,907,
Ethan Hossain,,2075
Joshua Witter,,1888
Felix Tintelnot,,"1179, 1975"
Yoonsoo Lee,289,674
Xiaoyong Zheng,811,
Michiru Sakane,,623
Scott Langford,,2782
Ishaana Talesara,,1684
James C Davis,,"189, 1571, 786, 3062, 2221, 607"
Colin McMillan,,2173
Grace C Ozor,,2631
Kevin Mullally,1987,
Paul A Parker,,1071
Serdar Aldatmaz,,662
Nora Schwaller,,"2285, 2556"
Melissa Chow,,1975
Kyle J Caswell,1510,
Jeffrey Waddoups,,2497
Dan Vedensky,,1071
Andrew Hanks,,2383
Tanvi Jindal,,"2606, 2306"
Andrea Stella,"2427, 1287",
Paul - Metaxatos,,588
Elise Marifian,2465,
Michael A Stanko,566,
Chuhang Yin,,1109
Moritz C Fliescher,,751
Benjamin J Lipsius,,1686
Kyle L Handley,"1686, 1057, 987",1670
Victoria Zhang,,2176
David J Ravenscraft,,668
Judith K Hellerstein,9,
Adrien Matray,,2732
Christopher J Kurz,1237,264
Louis J Maiden,,"2396, 1571, 2766"
E. Lance Howe,,1211
Christopher R Stewart,2794,
