Proj ID,Status,Title,RDC,Start Year,End Year,PI,Data Name,Data Code
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Annual Survey of Manufactures,ASM
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Auxiliary Establishment - ES9200,AUX
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Census of Construction Industries,CCN
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,"Census of Finance, Insurance, and Real Estate",CFI
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Census of Manufactures,CMF
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Census of Mining,CMI
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Census of Retail Trade,CRT
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Census of Services,CSR
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,"Census of Transportation, Communications, and Utilities",CUT
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Census of Wholesale Trade,CWH
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Enterprise Summary Report - ES9100 (large company),ESR
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Standard Statistical Establishment Listing,SSL
5,Completed,The Impact of Foreign Trade on the U.S. Economy,Boston,2001,2004,J Bradford Jensen,Standard Statistical Establishment List - non Name and Address File,SSL_XNA
8,Completed,Do Plants Move? - Evidence of Relocation in U.S. Manufacturing Plants,CMU,2001,2001,Yoonsoo Lee,Census of Manufactures,CMF
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,Census of Construction Industries,CCN
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,Decennial Census,CEN
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,"Census of Finance, Insurance, and Real Estate",CFI
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,Census of Manufactures,CMF
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,Census of Mining,CMI
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,Census of Retail Trade,CRT
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,Census of Services,CSR
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,"Census of Transportation, Communications, and Utilities",CUT
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,Census of Wholesale Trade,CWH
9,Completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",Washington,2001,2005,Judith K Hellerstein,Decennial Employer-Employee Database,DEE
